Civ1,Aztecs,Berbers,Britons,Bulgarians,Burmese,Byzantines,Celts,Chinese,Cumans,Ethiopians,Franks,Goths,Huns,Incas,Indians,Italians,Japanese,Khmer,Koreans,Lithuanians,Magyars,Malay,Malians,Mayans,Mongols,Persians,Portuguese,Saracens,Slavs,Spanish,Tatars,Teutons,Turks,Vietnamese,Vikings
Aztecs,4,14,119,11,33,9,26,7,57,21,38,15,13,9,57,10,1,99,14,91,17,13,1,50,76,21,9,15,15,39,12,33,12,13,13
Berbers,14,2,75,8,19,13,10,11,29,24,35,24,18,3,45,14,9,88,8,19,7,18,8,70,68,47,15,17,7,26,11,13,6,25,20
Britons,119,75,32,34,67,18,67,65,175,303,778,103,118,39,962,25,42,608,32,256,106,132,30,706,342,245,37,164,59,114,60,75,29,116,83
Bulgarians,11,8,34,2,12,3,10,8,11,26,23,13,11,8,40,6,6,24,9,14,6,7,4,29,40,7,8,10,8,7,6,6,5,13,10
Burmese,33,19,67,12,10,4,29,13,83,20,50,42,27,8,61,10,11,179,10,31,10,13,9,73,142,29,15,20,16,48,19,28,33,27,23
Byzantines,9,13,18,3,4,0,8,4,10,2,20,2,5,6,16,4,9,14,9,10,1,3,7,16,21,13,3,10,6,6,7,3,3,4,11
Celts,26,10,67,10,29,8,4,15,57,20,33,20,12,16,43,9,18,104,16,24,12,24,10,47,96,42,8,18,7,65,8,13,12,22,13
Chinese,7,11,65,8,13,4,15,2,29,24,70,17,14,11,87,8,10,87,10,21,11,13,10,51,45,39,12,17,10,26,7,13,7,17,13
Cumans,57,29,175,11,83,10,57,29,7,50,58,70,36,22,86,19,16,212,19,49,25,41,12,173,188,40,14,69,20,108,23,43,28,41,19
Ethiopians,21,24,303,26,20,2,20,24,50,4,239,28,37,14,294,10,10,141,5,53,41,33,16,95,81,70,10,27,13,38,13,27,12,32,24
Franks,38,35,778,23,50,20,33,70,58,239,17,46,55,35,403,16,32,158,30,58,32,72,14,501,184,67,36,126,17,39,42,28,21,110,65
Goths,15,24,103,13,42,2,20,17,70,28,46,3,21,11,80,7,9,118,9,36,19,19,4,74,145,40,9,35,15,65,30,19,17,30,18
Huns,13,18,118,11,27,5,12,14,36,37,55,21,2,12,80,7,11,51,14,29,12,24,9,83,72,33,11,32,14,20,10,17,6,27,41
Incas,9,3,39,8,8,6,16,11,22,14,35,11,12,5,33,6,9,32,5,10,7,9,2,26,28,22,5,10,6,21,8,6,4,12,11
Indians,57,45,962,40,61,16,43,87,86,294,403,80,80,33,13,35,53,316,29,92,53,115,23,565,287,99,26,128,24,89,41,45,23,136,67
Italians,10,14,25,6,10,4,9,8,19,10,16,7,7,6,35,0,47,38,6,18,7,29,9,20,56,59,25,15,5,9,2,11,5,12,111
Japanese,1,9,42,6,11,9,18,10,16,10,32,9,11,9,53,47,1,49,11,17,17,37,15,35,62,72,23,10,5,22,10,9,5,17,51
Khmer,99,88,608,24,179,14,104,87,212,141,158,118,51,32,316,38,49,11,45,90,59,73,25,489,485,104,33,137,59,204,57,71,47,129,56
Koreans,14,8,32,9,10,9,16,10,19,5,30,9,14,5,29,6,11,45,2,15,5,14,10,34,57,25,3,9,5,26,7,14,6,16,17
Lithuanians,91,19,256,14,31,10,24,21,49,53,58,36,29,10,92,18,17,90,15,10,18,30,47,170,141,85,17,36,12,56,27,24,11,47,44
Magyars,17,7,106,6,10,1,12,11,25,41,32,19,12,7,53,7,17,59,5,18,0,23,6,64,50,20,3,31,10,16,14,5,2,25,11
Malay,13,18,132,7,13,3,24,13,41,33,72,19,24,9,115,29,37,73,14,30,23,7,17,92,95,82,22,35,7,38,16,11,9,21,62
Malians,1,8,30,4,9,7,10,10,12,16,14,4,9,2,23,9,15,25,10,47,6,17,2,72,37,158,15,9,6,70,4,1,7,20,32
Mayans,50,70,706,29,73,16,47,51,173,95,501,74,83,26,565,20,35,489,34,170,64,92,72,14,299,311,22,86,34,149,34,69,27,70,63
Mongols,76,68,342,40,142,21,96,45,188,81,184,145,72,28,287,56,62,485,57,141,50,95,37,299,15,241,58,99,59,194,40,76,35,90,109
Persians,21,47,245,7,29,13,42,39,40,70,67,40,33,22,99,59,72,104,25,85,20,82,158,311,241,12,58,48,9,143,17,20,19,64,132
Portuguese,9,15,37,8,15,3,8,12,14,10,36,9,11,5,26,25,23,33,3,17,3,22,15,22,58,58,2,12,6,21,6,10,5,15,45
Saracens,15,17,164,10,20,10,18,17,69,27,126,35,32,10,128,15,10,137,9,36,31,35,9,86,99,48,12,1,21,29,10,21,9,16,26
Slavs,15,7,59,8,16,6,7,10,20,13,17,15,14,6,24,5,5,59,5,12,10,7,6,34,59,9,6,21,1,21,10,7,7,22,9
Spanish,39,26,114,7,48,6,65,26,108,38,39,65,20,21,89,9,22,204,26,56,16,38,70,149,194,143,21,29,21,4,20,34,22,51,32
Tatars,12,11,60,6,19,7,8,7,23,13,42,30,10,8,41,2,10,57,7,27,14,16,4,34,40,17,6,10,10,20,1,10,7,9,12
Teutons,33,13,75,6,28,3,13,13,43,27,28,19,17,6,45,11,9,71,14,24,5,11,1,69,76,20,10,21,7,34,10,2,13,20,23
Turks,12,6,29,5,33,3,12,7,28,12,21,17,6,4,23,5,5,47,6,11,2,9,7,27,35,19,5,9,7,22,7,13,1,12,8
Vietnamese,13,25,116,13,27,4,22,17,41,32,110,30,27,12,136,12,17,129,16,47,25,21,20,70,90,64,15,16,22,51,9,20,12,7,18
Vikings,13,20,83,10,23,11,13,13,19,24,65,18,41,11,67,111,51,56,17,44,11,62,32,63,109,132,45,26,9,32,12,23,8,18,4
