Civ1,Aztecs,Berbers,Britons,Bulgarians,Burmese,Byzantines,Celts,Chinese,Cumans,Ethiopians,Franks,Goths,Huns,Incas,Indians,Italians,Japanese,Khmer,Koreans,Lithuanians,Magyars,Malay,Malians,Mayans,Mongols,Persians,Portuguese,Saracens,Slavs,Spanish,Tatars,Teutons,Turks,Vietnamese,Vikings
Aztecs,4,14,119,11,33,9,26,7,57,21,38,15,13,9,57,10,1,99,14,91,17,13,1,50,76,21,9,15,15,39,12,33,12,13,13
Berbers,,2,75,8,19,13,10,11,29,24,35,24,18,3,45,14,9,88,8,19,7,18,8,70,68,47,15,17,7,26,11,13,6,25,20
Britons,,,32,34,67,18,67,65,175,303,778,103,118,39,962,25,42,608,32,256,106,132,30,706,342,245,37,164,59,114,60,75,29,116,83
Bulgarians,,,,2,12,3,10,8,11,26,23,13,11,8,40,6,6,24,9,14,6,7,4,29,40,7,8,10,8,7,6,6,5,13,10
Burmese,,,,,10,4,29,13,83,20,50,42,27,8,61,10,11,179,10,31,10,13,9,73,142,29,15,20,16,48,19,28,33,27,23
Byzantines,,,,,,0,8,4,10,2,20,2,5,6,16,4,9,14,9,10,1,3,7,16,21,13,3,10,6,6,7,3,3,4,11
Celts,,,,,,,4,15,57,20,33,20,12,16,43,9,18,104,16,24,12,24,10,47,96,42,8,18,7,65,8,13,12,22,13
Chinese,,,,,,,,2,29,24,70,17,14,11,87,8,10,87,10,21,11,13,10,51,45,39,12,17,10,26,7,13,7,17,13
Cumans,,,,,,,,,7,50,58,70,36,22,86,19,16,212,19,49,25,41,12,173,188,40,14,69,20,108,23,43,28,41,19
Ethiopians,,,,,,,,,,4,239,28,37,14,294,10,10,141,5,53,41,33,16,95,81,70,10,27,13,38,13,27,12,32,24
Franks,,,,,,,,,,,17,46,55,35,403,16,32,158,30,58,32,72,14,501,184,67,36,126,17,39,42,28,21,110,65
Goths,,,,,,,,,,,,3,21,11,80,7,9,118,9,36,19,19,4,74,145,40,9,35,15,65,30,19,17,30,18
Huns,,,,,,,,,,,,,2,12,80,7,11,51,14,29,12,24,9,83,72,33,11,32,14,20,10,17,6,27,41
Incas,,,,,,,,,,,,,,5,33,6,9,32,5,10,7,9,2,26,28,22,5,10,6,21,8,6,4,12,11
Indians,,,,,,,,,,,,,,,13,35,53,316,29,92,53,115,23,565,287,99,26,128,24,89,41,45,23,136,67
Italians,,,,,,,,,,,,,,,,0,47,38,6,18,7,29,9,20,56,59,25,15,5,9,2,11,5,12,111
Japanese,,,,,,,,,,,,,,,,,1,49,11,17,17,37,15,35,62,72,23,10,5,22,10,9,5,17,51
Khmer,,,,,,,,,,,,,,,,,,11,45,90,59,73,25,489,485,104,33,137,59,204,57,71,47,129,56
Koreans,,,,,,,,,,,,,,,,,,,2,15,5,14,10,34,57,25,3,9,5,26,7,14,6,16,17
Lithuanians,,,,,,,,,,,,,,,,,,,,10,18,30,47,170,141,85,17,36,12,56,27,24,11,47,44
Magyars,,,,,,,,,,,,,,,,,,,,,0,23,6,64,50,20,3,31,10,16,14,5,2,25,11
Malay,,,,,,,,,,,,,,,,,,,,,,7,17,92,95,82,22,35,7,38,16,11,9,21,62
Malians,,,,,,,,,,,,,,,,,,,,,,,2,72,37,158,15,9,6,70,4,1,7,20,32
Mayans,,,,,,,,,,,,,,,,,,,,,,,,14,299,311,22,86,34,149,34,69,27,70,63
Mongols,,,,,,,,,,,,,,,,,,,,,,,,,15,241,58,99,59,194,40,76,35,90,109
Persians,,,,,,,,,,,,,,,,,,,,,,,,,,12,58,48,9,143,17,20,19,64,132
Portuguese,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,6,21,6,10,5,15,45
Saracens,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21,29,10,21,9,16,26
Slavs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21,10,7,7,22,9
Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,20,34,22,51,32
Tatars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,7,9,12
Teutons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13,20,23
Turks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,8
Vietnamese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,18
Vikings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
