match_id,team,won,teamcivs
30248771,1,1,"{""Celts"", ""Mongols"", ""Malay"", ""Khmer""}"
30248771,2,0,"{""Huns"", ""Portuguese"", ""Mayans"", ""Berbers""}"
30141078,1,1,"{""Malay"", ""Mongols""}"
30141078,2,0,"{""Indians"", ""Bulgarians""}"
30129839,1,1,"{""Saracens"", ""Britons"", ""Indians""}"
30129839,2,0,"{""Lithuanians"", ""Britons"", ""Byzantines""}"
30126896,1,0,"{""Britons"", ""Indians"", ""Mayans"", ""Slavs""}"
30126896,2,1,"{""Cumans"", ""Khmer"", ""Saracens"", ""Britons""}"
30122340,1,1,"{""Franks"", ""Malay"", ""Britons"", ""Indians""}"
30122340,2,0,"{""Britons"", ""Mayans"", ""Franks"", ""Lithuanians""}"
30119274,1,1,"{""Mongols"", ""Malay"", ""Japanese""}"
30119274,2,0,"{""Mongols"", ""Teutons"", ""Spanish""}"
30117005,1,1,"{""Cumans"", ""Saracens"", ""Britons""}"
30117005,2,0,"{""Goths"", ""Vietnamese"", ""Indians""}"
29902262,1,0,"{""Persians"", ""Vikings"", ""Italians""}"
29902262,2,1,"{""Italians"", ""Malay"", ""Vikings""}"
29899346,1,0,"{""Malay"", ""Italians"", ""Vikings""}"
29899346,2,1,"{""Italians"", ""Malay"", ""Vikings""}"
29895893,1,0,"{""Mayans"", ""Indians"", ""Indians"", ""Britons""}"
29895893,2,1,"{""Britons"", ""Mayans"", ""Franks"", ""Indians""}"
29886512,1,1,"{""Persians"", ""Britons"", ""Chinese"", ""Franks""}"
29886512,2,0,"{""Mayans"", ""Khmer"", ""Vietnamese"", ""Slavs""}"
29883429,1,1,"{""Magyars"", ""Saracens"", ""Indians"", ""Britons""}"
29883429,2,0,"{""Cumans"", ""Britons"", ""Indians"", ""Ethiopians""}"
29874177,1,1,"{""Malay"", ""Indians""}"
29874177,2,0,"{""Lithuanians"", ""Tatars""}"
29872192,1,1,"{""Mayans"", ""Indians""}"
29872192,2,0,"{""Indians"", ""Aztecs""}"
29870766,1,1,"{""Saracens"", ""Indians""}"
29870766,2,0,"{""Khmer"", ""Saracens""}"
29868737,1,1,"{""Japanese"", ""Tatars"", ""Persians""}"
29868737,2,0,"{""Koreans"", ""Indians"", ""Aztecs""}"
29611530,1,1,"{""Incas"", ""Indians""}"
29611530,2,0,"{""Vietnamese"", ""Franks""}"
29608182,1,1,"{""Malay"", ""Indians""}"
29608182,2,0,"{""Mayans"", ""Indians""}"
29601925,1,1,"{""Cumans"", ""Vikings"", ""Byzantines"", ""Koreans""}"
29601925,2,0,"{""Turks"", ""Persians"", ""Mayans"", ""Berbers""}"
29481259,1,1,"{""Mongols"", ""Japanese""}"
29481259,2,0,"{""Celts"", ""Spanish""}"
29344524,1,1,"{""Chinese"", ""Mongols""}"
29344524,2,0,"{""Teutons"", ""Ethiopians""}"
29341819,1,1,"{""Saracens"", ""Magyars"", ""Franks""}"
29341819,2,0,"{""Tatars"", ""Franks"", ""Lithuanians""}"
29339321,1,1,"{""Bulgarians"", ""Celts""}"
29339321,2,0,"{""Franks"", ""Incas""}"
29334793,1,0,"{""Ethiopians"", ""Franks""}"
29334793,2,1,"{""Britons"", ""Franks""}"
29303895,1,1,"{""Indians"", ""Malay""}"
29303895,2,0,"{""Indians"", ""Tatars""}"
29302261,1,1,"{""Mayans"", ""Goths"", ""Khmer"", ""Malay""}"
29302261,2,0,"{""Cumans"", ""Goths"", ""Teutons"", ""Lithuanians""}"
29301804,1,1,"{""Indians"", ""Britons"", ""Malay""}"
29301804,2,0,"{""Tatars"", ""Khmer"", ""Burmese""}"
29109628,1,1,"{""Khmer"", ""Malay"", ""Italians"", ""Ethiopians""}"
29109628,2,0,"{""Khmer"", ""Mongols"", ""Burmese"", ""Mayans""}"
29107424,1,1,"{""Malay"", ""Mayans"", ""Franks"", ""Britons""}"
29107424,2,0,"{""Lithuanians"", ""Britons"", ""Saracens"", ""Khmer""}"
27927635,1,1,"{""Vietnamese"", ""Goths"", ""Indians""}"
27927635,2,0,"{""Britons"", ""Persians"", ""Vietnamese""}"
27726557,1,0,"{""Berbers"", ""Indians""}"
27726557,2,1,"{""Chinese"", ""Indians""}"
27724978,1,0,"{""Persians"", ""Berbers""}"
27724978,2,1,"{""Italians"", ""Indians""}"
27722436,1,0,"{""Mongols"", ""Spanish""}"
27722436,2,1,"{""Malay"", ""Indians""}"
27720787,1,0,"{""Franks"", ""Mayans""}"
27720787,2,1,"{""Britons"", ""Franks""}"
27642287,1,0,"{""Italians"", ""Mongols""}"
27642287,2,1,"{""Mongols"", ""Malay""}"
27639107,1,1,"{""Ethiopians"", ""Franks"", ""Goths""}"
27639107,2,0,"{""Mayans"", ""Ethiopians"", ""Magyars""}"
27370848,1,1,"{""Malay"", ""Mongols""}"
27370848,2,0,"{""Britons"", ""Teutons""}"
27367493,1,1,"{""Khmer"", ""Mongols"", ""Franks"", ""Britons""}"
27367493,2,0,"{""Vietnamese"", ""Mongols"", ""Chinese"", ""Persians""}"
27365516,1,1,"{""Koreans"", ""Huns"", ""Britons""}"
27365516,2,0,"{""Aztecs"", ""Huns"", ""Lithuanians""}"
27363303,1,1,"{""Mayans"", ""Franks""}"
27363303,2,0,"{""Persians"", ""Burmese""}"
27360860,1,1,"{""Malay"", ""Mongols""}"
27360860,2,0,"{""Mongols"", ""Lithuanians""}"
27302903,1,0,"{""Franks"", ""Mayans"", ""Indians"", ""Britons""}"
27302903,2,1,"{""Britons"", ""Ethiopians"", ""Persians"", ""Franks""}"
27298579,1,1,"{""Mayans"", ""Khmer"", ""Mongols"", ""Teutons""}"
