Address,Avg Price Range,Avg Price USD for histogram,Award Remark,Award text,Country,Cuisine,Currency,Guide Text,Loc,Name,Stars,URL,Avg Price,AvgPriceUSD,AvgPrice USD,Exchange to USD,Lat,Lng,Max Price,MaxPrice USD,Min Price,MinPrice USD
"Vesterbrogade 182-184, Frederiksberg, København, 1800 C, Denmark",100-200 USD,100,Comfortable restaurant,"One MICHELIN Star: High quality cooking, worth a stop!",Denmark,Modern cuisine,DKK,"The friendly team create a relaxed environment at this appealing modern restaurant. Menus provide flexibility and the complex small plates are crafted with an assured touch; try at least one of their signature dishes. The wine list offers plenty of Burgundy and Claret, along with some modern producers.","https://www.google.com/maps/embed/v1/place?key=AIzaSyDvEyVCVpGtn81z5NrMKgdehPsrO9sJiMw&q=55.6706842,12.5355099&language=en-US",formel B,1,https://guide.michelin.com/en/capital-region/kobenhavn/restaurant/formel-b,723,108,108,0.15,55.6706842,12.5355099,995,149,450,68
"Kongens Nytorv 34, København, 1050 K, Denmark",100-200 USD,100,Very comfortable restaurant,"One MICHELIN Star: High quality cooking, worth a stop!",Denmark,Modern cuisine,DKK,"Named after Hotel D’Angleterre’s 1755 founder, this stylish restaurant boasts a floor to ceiling wine cellar and views out over the Royal Square. Precisely prepared dishes are modern in their presentation but built on a classical French base. They also offer an extensive caviar collection.","https://www.google.com/maps/embed/v1/place?key=AIzaSyDvEyVCVpGtn81z5NrMKgdehPsrO9sJiMw&q=55.6806399,12.5846760&language=en-US",Marchal,1,https://guide.michelin.com/en/capital-region/kobenhavn/restaurant/marchal,730,110,110,0.15,55.6806399,12.584676,985,148,475,71
"Guldbergsgade 21, København, 2200 N, Denmark",100-200 USD,100,Comfortable restaurant,"One MICHELIN Star: High quality cooking, worth a stop!",Denmark,Thai,DKK,"A charming restaurant, whose name means ‘come and eat’. Start with refined versions of street food in the moody lounge, then head for the tasteful dining room decorated with golden Buddhas and fresh flowers. Menus offer modern, personal interpretations of Thai dishes, which have vibrant flavour combinations.","https://www.google.com/maps/embed/v1/place?key=AIzaSyDvEyVCVpGtn81z5NrMKgdehPsrO9sJiMw&q=55.6918890,12.5574375&language=en-US",Kiin Kiin,1,https://guide.michelin.com/en/capital-region/kobenhavn/restaurant/kiin-kiin,735,110,110,0.15,55.691889,12.5574375,975,146,495,74
"Jurja Dalmatinca 1, Šibenik, 22000, Croatia",100-200 USD,100,Comfortable restaurant,"One MICHELIN Star: High quality cooking, worth a stop!",Croatia,Modern cuisine,HRK,"The rich gastronomic heritage of Šibenik dates back to the Roman period and has been influenced by the Venetians, the Ottoman Empire and the French over subsequent centuries. Pelegrini showcases local ingredients such as mussels, oysters, sea snails, sea urchins and different types of fish, as well as meat-based dishes with an emphasis on lamb and veal. Careful attention to presentation and the cut of the meat, together with a judicious combination of flavours, ensures that your taste buds are never disappointed. In short, chef Rudolf Štefan leaves nothing to chance – his dishes are always the result of painstaking research and hard work!","https://www.google.com/maps/embed/v1/place?key=AIzaSyDvEyVCVpGtn81z5NrMKgdehPsrO9sJiMw&q=43.7360494,15.8890466&language=en-US",Pelegrini,1,https://guide.michelin.com/en/sibenik-knin/sibenik/restaurant/pelegrini,768,115,115,0.15,43.7360494,15.8890466,965,145,570,86
"Viktoriagatan 12, Göteborg, 411  25, Sweden",0-100 USD,75,Simple restaurant; one of our most delightful places.,"One MICHELIN Star: High quality cooking, worth a stop!",Sweden,Modern cuisine,SEK,"An understatedly elegant wood-panelled room with bespoke furnishings that exude Scandic cool. Choose 3, 5 or 7 courses from the daily set menu. Dishes are light and refreshingly original in their approach and feature some lesser-known ingredients. Well-chosen wines and smooth service complete the picture.","https://www.google.com/maps/embed/v1/place?key=AIzaSyDvEyVCVpGtn81z5NrMKgdehPsrO9sJiMw&q=57.6986003,11.9654719&language=en-US",Koka,1,https://guide.michelin.com/en/vastra-gotaland/goteborg/restaurant/koka,745,82,82,0.11,57.6986003,11.9654719,945,104,545,60
"Johannebergsgatan 24, Göteborg, 412 56, Sweden",0-100 USD,75,Comfortable restaurant,"One MICHELIN Star: High quality cooking, worth a stop!",Sweden,Modern cuisine,SEK,"Not only can you watch the chefs at work here, they also deliver your food. Cooking is a model of self-restraint, with well-thought-through combinations showing a beautiful balance of richness and acidity. The room exudes a cool, modern style and is relaxed and intimate in equal measure.","https://www.google.com/maps/embed/v1/place?key=AIzaSyDvEyVCVpGtn81z5NrMKgdehPsrO9sJiMw&q=57.6969448,11.9833222&language=en-US",SK Mat & Människor,1,https://guide.michelin.com/en/vastra-gotaland/goteborg/restaurant/sk-mat-manniskor,740,81,81,0.11,57.6969448,11.9833222,900,99,580,64
"Norra Hamngatan 10, Göteborg, 411 14, Sweden",0-100 USD,75,Simple restaurant,"One MICHELIN Star: High quality cooking, worth a stop!",Sweden,Creative,SEK,The knowledgeable team here know both the menu and the wine list inside out. Ultra-seasonal ingredients from small farms feature in imaginatively presented dishes which are complex in make-up yet subtle in flavour – and these are paired with some interesting wines. The flowers are grown on their urban farm.,"https://www.google.com/maps/embed/v1/place?key=AIzaSyDvEyVCVpGtn81z5NrMKgdehPsrO9sJiMw&q=57.7062968,11.9621856&language=en-US",bhoga,1,https://guide.michelin.com/en/vastra-gotaland/goteborg/restaurant/bhoga,775,85,85,0.11,57.7062968,11.9621856,900,99,650,72
"Jægersborggade 41, København, 2200 N, Denmark",100-200 USD,100,Simple restaurant,"One MICHELIN Star: High quality cooking, worth a stop!",Denmark,Modern cuisine,DKK,"The open kitchen provides a sense of occasion and the passion of the chefs is palpable. Cooking is ingredient-led, with much of the produce coming from their own farm, and the surprise menus offer simple, pared-back dishes with beautifully natural flavours. The restaurant is certified organic and they are constantly striving to reduce their impact on the environment.","https://www.google.com/maps/embed/v1/place?key=AIzaSyDvEyVCVpGtn81z5NrMKgdehPsrO9sJiMw&q=55.6930655,12.5433446&language=en-US",Relæ,1,https://guide.michelin.com/en/capital-region/kobenhavn/restaurant/relae,690,104,104,0.15,55.6930655,12.5433446,895,134,485,73
"Montalbano 75, Rovinj, 52210, Croatia",100-200 USD,100,Comfortable restaurant; one of our most delightful places.,"One MICHELIN Star: High quality cooking, worth a stop!",Croatia,Creative,HRK,"Danijel Dekic has succeeded in the arduous task of making a name for himself as a reference for haute cuisine in a country that is starting to establish itself in the world of gourmet dining. His cuisine is spectacular, almost theatrical, in its presentation, as well as being highly creative, and is supported by techniques which are both contemporary and exciting. Situated in the heart of Rovinj, within sight of Sant’Eufemia church, Monte is a restaurant with a modern and trendy feel – definitely not to be missed if you find yourself in the town.","https://www.google.com/maps/embed/v1/place?key=AIzaSyDvEyVCVpGtn81z5NrMKgdehPsrO9sJiMw&q=45.0824100,13.6318200&language=en-US",Monte,1,https://guide.michelin.com/en/istria/rovinj/restaurant/monte,764,115,115,0.15,45.08241,13.63182,889,133,639,96
"Sv. Dominika B.B., Dubrovnik, 20000, Croatia",100-200 USD,100,Very comfortable restaurant; one of our most delightful places.,"One MICHELIN Star: High quality cooking, worth a stop!",Croatia,Modern cuisine,HRK,"A magical setting, starting with the entrance through Dubrovnik’s imposing city walls. From here, you’re welcomed with real professionalism and then accompanied – if the weather allows – to the terrace, where the name of the restaurant suddenly becomes clear – the view from here extends for 360°, taking in the rooftops of this exquisite town, the tourist port and offering glimpses of the coast. The young and dynamic staff are happy to provide information on the ingredients and composition of the elaborate, expertly prepared and beautifully presented dishes, as well as on the wines. The perfect choice for an enchanting, possibly romantic and certainly gourmet, evening.","https://www.google.com/maps/embed/v1/place?key=AIzaSyDvEyVCVpGtn81z5NrMKgdehPsrO9sJiMw&q=42.6415506,18.1115484&language=en-US",360º,1,https://guide.michelin.com/en/dubrovnik-neretva/dubrovnik/restaurant/360%C2%BA,710,107,107,0.15,42.6415506,18.1115484,880,132,540,81
