civ,winrate
Aztecs,0.4729064
Berbers,0.41269841
Britons,0.54407051
Bulgarians,0.48333333
Burmese,0.50935551
Byzantines,0.38596491
Celts,0.45628415
Chinese,0.48742138
Cumans,0.5006605
Ethiopians,0.47455296
Franks,0.49929972
Goths,0.4787234
Huns,0.45103093
Incas,0.42780749
Indians,0.5338785
Italians,0.48028674
Japanese,0.46127946
Khmer,0.52364066
Koreans,0.52293578
Lithuanians,0.49926794
Magyars,0.45666667
Malay,0.55952381
Malians,0.48821549
Mayans,0.53089737
Mongols,0.50030845
Persians,0.49147442
Portuguese,0.46861925
Saracens,0.5046729
Slavs,0.39150943
Spanish,0.52191781
Tatars,0.42168675
Teutons,0.45962733
Turks,0.4972973
Vietnamese,0.42857143
Vikings,0.44444444
